FUNC_LOC,PLANT,AREA,DESCRIPTION
FL-ETH-001,PLANT01,ETHYLENE,Cracked Gas Compressor Area
FL-ETH-002,PLANT01,ETHYLENE,Ethylene Refrigeration Area
FL-ETH-003,PLANT01,ETHYLENE,Quench Tower Area
FL-UTL-001,PLANT01,UTILITY,Boiler House
FL-UTL-002,PLANT01,UTILITY,Cooling Tower
FL-UTL-003,PLANT01,UTILITY,Water Treatment Unit
FL-PE-001,PLANT01,POLYETHYLENE,Pelletizing Unit
FL-PE-002,PLANT01,POLYETHYLENE,Extruder Area
FL-BD-001,PLANT01,BUTADIENE,Extraction Area
FL-BD-002,PLANT01,BUTADIENE,Compressor House
FL-TK-001,PLANT01,STORAGE,Tank Farm
FL-EL-001,PLANT01,ELECTRICAL,Main Electrical Substation
