EVENT_ID,EQUNR,EVENT_DATE,EVENT_TYPE,DESCRIPTION,USERID
H000001,MTR001,2026-01-15,INSPECTION,Routine inspection completed,ENG001
H000002,MTR003,2026-03-12,TRIP,Motor tripped during operation,OPS001
H000003,MTR003,2026-03-12,NOTIFICATION_CREATED,Notification N000002 created,ENG001
H000004,MTR003,2026-03-13,WORKORDER_CREATED,Work Order WO000001 created,PLN001
H000005,MTR004,2026-04-02,NOTIFICATION_CREATED,Preventive maintenance notification,ENG003
H000006,MTR007,2026-04-18,NOTIFICATION_CREATED,Preventive maintenance notification,ENG003
H000007,MTR008,2026-05-05,TRIP,Motor tripped during operation,OPS002
H000008,MTR008,2026-05-05,NOTIFICATION_CREATED,Notification N000005 created,ENG001
H000009,MTR008,2026-05-06,WORKORDER_CREATED,Work Order WO000002 created,PLN001
H000010,MTR011,2026-02-10,INSPECTION,Inspection completed,ENG001
H000011,MTR013,2026-06-11,NOTIFICATION_CREATED,Preventive maintenance notification,ENG003
H000012,MTR013,2026-06-12,WORKORDER_CREATED,Work Order WO000003 created,PLN001
H000013,MTR015,2026-06-15,TRIP,Motor tripped during operation,OPS001
H000014,MTR015,2026-06-15,NOTIFICATION_CREATED,Notification N000008 created,ENG001
H000015,MTR015,2026-06-16,WORKORDER_CREATED,Work Order WO000004 created,PLN001
H000016,PMP001,2026-01-30,NOTIFICATION_CREATED,Preventive maintenance notification,ENG002
H000017,PMP001,2026-02-01,WORKORDER_CREATED,Work Order WO000010 created,PLN001
H000018,PMP001,2026-02-03,WORKORDER_CLOSED,Preventive maintenance completed,TEC003
H000019,PMP004,2026-05-12,VIBRATION,Abnormal vibration detected,OPS002
H000020,PMP004,2026-05-12,NOTIFICATION_CREATED,Corrective maintenance notification,ENG002
H000021,PMP004,2026-05-13,WORKORDER_CREATED,Work Order WO000005 created,PLN001
H000022,FAN004,2026-06-07,NOTIFICATION_CREATED,Fan bearing replacement required,ENG002
H000023,FAN004,2026-06-08,WORKORDER_CREATED,Work Order WO000006 created,PLN001
H000024,CMP001,2026-06-01,NOTIFICATION_CREATED,Preventive maintenance notification,ENG003
H000025,CMP001,2026-06-02,WORKORDER_CREATED,Work Order WO000007 created,PLN001
H000026,CMP002,2026-07-01,TRIP,Emergency compressor trip,OPS001
H000027,CMP002,2026-07-01,NOTIFICATION_CREATED,Emergency notification created,ENG001
H000028,CMP002,2026-07-02,WORKORDER_CREATED,Work Order WO000008 created,PLN001
H000029,TRF001,2026-01-08,INSPECTION,Annual transformer inspection completed,ENG001
H000030,TRF003,2026-05-22,NOTIFICATION_CREATED,Oil sampling scheduled,ENG003
H000031,TRF003,2026-05-23,WORKORDER_CREATED,Inspection work order created,PLN001
