WO_NO,NOTIF_NO,EQUNR,STATUS,PRIORITY,WORK_TYPE,PLANNER,TECHNICIAN,START_DATE,FINISH_DATE
WO000001,N000002,MTR003,IN_PROCESS,HIGH,CORRECTIVE,PLN001,TEC001,2026-03-13,
WO000002,N000005,MTR008,OPEN,CRITICAL,CORRECTIVE,PLN001,TEC002,2026-05-06,
WO000003,N000007,MTR013,OPEN,HIGH,PREVENTIVE,PLN001,TEC001,2026-06-12,
WO000004,N000008,MTR015,OPEN,CRITICAL,CORRECTIVE,PLN001,TEC002,2026-06-16,
WO000005,N000010,PMP004,IN_PROCESS,HIGH,CORRECTIVE,PLN001,TEC003,2026-05-13,
WO000006,N000012,FAN004,OPEN,MEDIUM,CORRECTIVE,PLN001,TEC003,2026-06-08,
WO000007,N000013,CMP001,OPEN,HIGH,PREVENTIVE,PLN001,TEC001,2026-06-02,
WO000008,N000014,CMP002,IN_PROCESS,CRITICAL,CORRECTIVE,PLN001,TEC002,2026-07-02,
WO000009,N000016,TRF003,OPEN,MEDIUM,INSPECTION,PLN001,TEC001,2026-05-23,
WO000010,N000009,PMP001,CLOSED,MEDIUM,PREVENTIVE,PLN001,TEC003,2026-02-01,2026-02-03
