NOTIF_NO,EQUNR,TYPE,PRIORITY,STATUS,DESCRIPTION,CREATED_BY,CREATED_DATE

N000001,MTR001,INSPECTION,LOW,CLOSED,Routine inspection completed,ENG001,2026-01-15
N000002,MTR003,BREAKDOWN,HIGH,IN_PROCESS,Motor tripped during operation,OPS001,2026-03-12
N000003,MTR004,PREVENTIVE,MEDIUM,OPEN,Running hour approaching maintenance limit,ENG003,2026-04-02
N000004,MTR007,PREVENTIVE,MEDIUM,OPEN,Cooling fan requires preventive maintenance,ENG003,2026-04-18
N000005,MTR008,BREAKDOWN,CRITICAL,IN_PROCESS,Unexpected motor trip,OPS002,2026-05-05
N000006,MTR011,INSPECTION,LOW,CLOSED,Inspection completed successfully,ENG001,2026-02-10
N000007,MTR013,PREVENTIVE,HIGH,OPEN,Running hour exceeded maintenance threshold,ENG003,2026-06-11
N000008,MTR015,BREAKDOWN,CRITICAL,OPEN,Extraction pump motor trip,OPS001,2026-06-15
N000009,PMP001,PREVENTIVE,MEDIUM,CLOSED,Pump lubrication completed,ENG002,2026-01-30
N000010,PMP004,CORRECTIVE,HIGH,IN_PROCESS,Pump vibration detected,OPS002,2026-05-12
N000011,FAN003,INSPECTION,LOW,CLOSED,Substation ventilation inspection,ENG001,2026-02-28
N000012,FAN004,CORRECTIVE,MEDIUM,OPEN,Fan bearing replacement required,ENG002,2026-06-07
N000013,CMP001,PREVENTIVE,HIGH,OPEN,Compressor maintenance due,ENG003,2026-06-01
N000014,CMP002,BREAKDOWN,CRITICAL,IN_PROCESS,Process compressor emergency trip,OPS001,2026-07-01
N000015,TRF001,INSPECTION,LOW,CLOSED,Transformer annual inspection,ENG001,2026-01-08
N000016,TRF003,PREVENTIVE,MEDIUM,OPEN,Oil sampling scheduled,ENG003,2026-05-22
