EQUNR,PERMIT_STATUS,PERMIT_TYPE,VALID_UNTIL,APPROVED_BY
MTR001,APPROVED,HOT WORK,2026-12-31,SUP001
MTR002,APPROVED,ELECTRICAL,2026-12-31,SUP001
MTR003,APPROVED,ELECTRICAL,2026-12-31,SUP001
MTR004,NONE,,,
MTR005,PENDING,MECHANICAL,,SUP002
MTR006,APPROVED,MECHANICAL,2026-11-15,SUP002
MTR007,APPROVED,WORK AT HEIGHT,2026-10-30,SAF001
MTR008,APPROVED,ELECTRICAL,2026-12-31,SUP001
MTR009,NONE,,,
MTR010,EXPIRED,ELECTRICAL,2026-06-20,SUP001
MTR011,APPROVED,MECHANICAL,2026-12-31,SUP002
MTR012,PENDING,ELECTRICAL,,SUP001
MTR013,APPROVED,ELECTRICAL,2026-12-31,SUP001
MTR014,APPROVED,GENERAL,2026-12-31,SUP002
MTR015,APPROVED,ELECTRICAL,2026-12-31,SUP001
PMP001,APPROVED,MECHANICAL,2026-12-31,SUP002
PMP002,NONE,,,
PMP003,APPROVED,GENERAL,2026-12-31,SUP002
PMP004,PENDING,MECHANICAL,,SUP002
PMP005,APPROVED,MECHANICAL,2026-12-31,SUP002
FAN001,APPROVED,GENERAL,2026-12-31,SUP002
FAN002,NONE,,,
FAN003,APPROVED,ELECTRICAL,2026-12-31,SUP001
FAN004,EXPIRED,GENERAL,2026-05-15,SUP002
CMP001,APPROVED,ELECTRICAL,2026-12-31,SUP001
CMP002,APPROVED,ELECTRICAL,2026-12-31,SUP001
CMP003,PENDING,GENERAL,,SUP002
TRF001,APPROVED,ELECTRICAL,2026-12-31,SUP001
TRF002,APPROVED,ELECTRICAL,2026-12-31,SUP001
TRF003,APPROVED,ELECTRICAL,2026-12-31,SUP001
