EQUNR,EQ_TYPE,DESCRIPTION,VOLTAGE,STATUS,RUNNING_HOUR,FUNC_LOC
MTR001,MOTOR,Cooling Water Pump Motor A,6000,RUNNING,1200,FL-ETH-001
MTR002,MOTOR,Cooling Water Pump Motor B,6000,RUNNING,3200,FL-ETH-001
MTR003,MOTOR,Ethylene Compressor Motor A,6000,TRIP,6450,FL-ETH-002
MTR004,MOTOR,Ethylene Compressor Motor B,6000,RUNNING,5900,FL-ETH-002
MTR005,MOTOR,Quench Pump Motor,6000,STOP,2500,FL-ETH-003
MTR006,MOTOR,Boiler Feed Pump Motor,6000,RUNNING,4100,FL-UTL-001
MTR007,MOTOR,Cooling Tower Fan Motor A,6000,RUNNING,6100,FL-UTL-002
MTR008,MOTOR,Cooling Tower Fan Motor B,6000,TRIP,7150,FL-UTL-002
MTR009,MOTOR,Water Treatment Pump Motor,380,RUNNING,1800,FL-UTL-003
MTR010,MOTOR,Water Transfer Pump Motor,380,RUNNING,2200,FL-UTL-003
MTR011,MOTOR,Pellet Conveyor Motor A,380,RUNNING,5400,FL-PE-001
MTR012,MOTOR,Pellet Conveyor Motor B,380,STOP,3100,FL-PE-001
MTR013,MOTOR,Extruder Main Drive,6000,RUNNING,6850,FL-PE-002
MTR014,MOTOR,Extruder Cooling Pump,380,RUNNING,800,FL-PE-002
MTR015,MOTOR,Extraction Pump Motor,6000,TRIP,8300,FL-BD-001
PMP001,PUMP,Cooling Water Pump A,6000,RUNNING,5100,FL-ETH-001
PMP002,PUMP,Boiler Feed Pump,6000,RUNNING,3600,FL-UTL-001
PMP003,PUMP,Water Treatment Pump,380,RUNNING,1200,FL-UTL-003
PMP004,PUMP,Extruder Cooling Pump,380,STOP,4300,FL-PE-002
PMP005,PUMP,Extraction Pump,6000,RUNNING,6200,FL-BD-001
FAN001,FAN,Cooling Tower Fan A,380,RUNNING,4100,FL-UTL-002
FAN002,FAN,Cooling Tower Fan B,380,RUNNING,3900,FL-UTL-002
FAN003,FAN,Substation Ventilation Fan,380,RUNNING,2600,FL-EL-001
FAN004,FAN,Tank Farm Ventilation Fan,380,STOP,5100,FL-TK-001
CMP001,COMPRESSOR,Instrument Air Compressor,6000,RUNNING,7200,FL-ETH-001
CMP002,COMPRESSOR,Process Gas Compressor,6000,TRIP,9400,FL-BD-002
CMP003,COMPRESSOR,Nitrogen Compressor,6000,RUNNING,1800,FL-UTL-001
TRF001,TRANSFORMER,Main Substation Transformer A,20000,RUNNING,12000,FL-EL-001
TRF002,TRANSFORMER,Main Substation Transformer B,20000,RUNNING,11800,FL-EL-001
TRF003,TRANSFORMER,Utility Transformer,6300,RUNNING,9600,FL-UTL-001
